Inputs: 80000 0.001000 20000 0.010000 x
14000.000000 0.000182 0.031348 99.049995 0.122101 0.118719
15000.000000 0.000259 0.034696 99.110001 0.115724 0.118719
16000.000000 0.063056 0.032990 99.110001 0.120716 0.118719
17000.000000 0.001019 0.034303 99.110001 0.103847 0.118719
18000.000000 0.000043 0.048635 98.820000 0.126306 0.118719
19000.000000 0.000019 0.044341 99.040001 0.124003 0.118719
20000.000000 0.000000 0.048246 99.169998 0.117622 0.118719
22000.000000 0.002183 0.057978 99.059998 0.121789 0.118719
23000.000000 0.000068 0.054257 99.190002 0.115900 0.118719
24000.000000 0.000058 0.046428 99.099998 0.115667 0.118719
25000.000000 0.000000 0.054736 99.040001 0.126415 0.118719
26000.000000 0.000010 0.060073 98.849998 0.112596 0.118719
27000.000000 0.000000 0.054034 98.979996 0.117213 0.118719
28000.000000 0.000010 0.049944 99.110001 0.109480 0.118719
29000.000000 0.000010 0.055694 99.010002 0.109070 0.118719
30000.000000 0.000022 0.046132 99.269997 0.115506 0.118719
31000.000000 0.000001 0.052946 99.110001 0.121607 0.118719
32000.000000 0.000345 0.056984 99.180000 0.126628 0.118719
33000.000000 0.000001 0.061113 99.080002 0.119769 0.118719
34000.000000 0.000000 0.055875 99.019997 0.106704 0.118719
35000.000000 0.000000 0.055563 99.169998 0.126012 0.118719
36000.000000 0.000006 0.056748 99.239998 0.109780 0.118719
37000.000000 0.000245 0.071547 99.099998 0.119424 0.118719
38000.000000 0.000000 0.073105 99.159996 0.114821 0.118719
39000.000000 0.000000 0.073418 99.129997 0.112544 0.118719
40000.000000 0.000000 0.058404 99.150002 0.118932 0.118719
41000.000000 0.000000 0.062707 99.199997 0.120223 0.118719
42000.000000 0.000001 0.065510 99.169998 0.118766 0.118719
43000.000000 0.000000 0.067659 99.209999 0.121973 0.118719
44000.000000 0.000059 0.064449 99.339996 0.121110 0.118719
45000.000000 0.000000 0.073078 99.269997 0.119179 0.118719
46000.000000 0.000000 0.070255 99.089996 0.126708 0.118719
47000.000000 0.000001 0.078500 99.190002 0.111456 0.118719
48000.000000 0.000004 0.087005 99.220001 0.117209 0.118719
49000.000000 0.000000 0.082693 99.309998 0.122499 0.118719
50000.000000 0.000000 0.072071 99.339996 0.121203 0.118719
51000.000000 0.000000 0.097977 99.080002 0.117726 0.118719
52000.000000 0.000007 0.084039 99.190002 0.121382 0.118719
53000.000000 0.000000 0.063614 99.220001 0.116970 0.118719
54000.000000 0.000000 0.079890 99.089996 0.118581 0.118719
55000.000000 0.000000 0.056026 99.389999 0.117252 0.118719
56000.000000 0.000002 0.068438 99.209999 0.115991 0.118719
57000.000000 0.000000 0.077971 99.260002 0.118611 0.118719
58000.000000 0.000000 0.104453 99.099998 0.121506 0.118719
59000.000000 0.000000 0.080940 99.269997 0.114771 0.118719
60000.000000 0.000020 0.097466 99.110001 0.124408 0.118719
61000.000000 0.002599 0.112014 99.080002 0.123347 0.118719
62000.000000 0.002066 0.080428 99.229996 0.125867 0.118719
63000.000000 0.000001 0.075414 99.269997 0.106884 0.118719
64000.000000 0.000000 0.129239 99.110001 0.119234 0.118719
65000.000000 0.000000 0.114801 99.190002 0.102978 0.118719
66000.000000 0.000016 0.104700 99.159996 0.115722 0.118719
67000.000000 0.000000 0.097644 99.190002 0.122677 0.118719
68000.000000 0.000000 0.112452 99.159996 0.119467 0.118719
69000.000000 0.000000 0.119822 99.199997 0.121112 0.118719
70000.000000 0.000000 0.100506 99.049995 0.120580 0.118719
71000.000000 0.000000 0.109376 99.239998 0.121137 0.118719
72000.000000 0.000000 0.109959 99.150002 0.121750 0.118719
73000.000000 0.000000 0.121435 99.080002 0.110013 0.118719
74000.000000 0.000000 0.153845 99.040001 0.117251 0.118719
75000.000000 0.000000 0.133315 99.119995 0.122160 0.118719
76000.000000 0.000000 0.108929 99.260002 0.110094 0.118719
77000.000000 0.000000 0.137110 99.150002 0.117846 0.118719
78000.000000 0.000000 0.151559 99.150002 0.129113 0.118719
79000.000000 0.000000 0.145035 99.119995 0.116035 0.118719
80000.000000 0.058884 0.150943 99.129997 0.117258 0.118719
81000.000000 0.000000 0.127710 99.199997 0.117399 0.118719
82000.000000 0.000000 0.131585 99.260002 0.115575 0.118719
83000.000000 0.000000 0.122635 99.229996 0.131816 0.118719
84000.000000 0.000000 0.158442 99.119995 0.120472 0.118719
85000.000000 0.000000 0.135994 99.260002 0.125785 0.118719
86000.000000 0.000000 0.141938 99.150002 0.125093 0.118719
87000.000000 0.000000 0.162266 99.099998 0.118276 0.118719
88000.000000 0.000000 0.137783 99.250000 0.114096 0.118719
89000.000000 0.000000 0.149740 99.190002 0.109459 0.118719
90000.000000 0.000000 0.130818 99.290001 0.117797 0.118719
91000.000000 0.000000 0.153782 99.209999 0.120833 0.118719
92000.000000 0.000000 0.154972 99.239998 0.128416 0.118719
93000.000000 0.000000 0.136874 99.279999 0.119633 0.118719
94000.000000 0.000000 0.140656 99.330002 0.116913 0.118719
95000.000000 0.000000 0.141687 99.299995 0.117758 0.118719
96000.000000 0.000000 0.154713 99.320000 0.112510 0.118719
97000.000000 0.000000 0.172185 99.150002 0.112496 0.118719
98000.000000 0.000000 0.166778 99.199997 0.115347 0.118719
99000.000000 0.000000 0.127260 99.199997 0.125748 0.118719
